Symbol,Name,Exchange,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",NASDAQ,7.2999,$43.99M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
FLWS,"1-800 FLOWERS.COM, Inc.",NASDAQ,9.7,$630.61M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),NASDAQ,13.45,$106.97M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,NASDAQ,33.63,$869.91M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",NASDAQ,7.09,$807.2M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",NASDAQ,33.41,$1.57B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",NASDAQ,33.68,$2B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,NASDAQ,14.57,$1.15B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,NASDAQ,13.55,$1.22B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",NASDAQ,16.1,$363.38M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",NASDAQ,29.1,$856.76M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",NASDAQ,27.55,$1.46B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",NASDAQ,46.34,$1.04B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,NASDAQ,5.55,$186.18M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,NASDAQ,2.48,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,NASDAQ,2.86,$72.29M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",NASDAQ,104.7,$4.51B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,NASDAQ,1.55,$209.31M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,NASDAQ,11.86,$657M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",NASDAQ,62.89,$2.25B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,NASDAQ,5.7,$287.18M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",NASDAQ,37.32,$3.26B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,NASDAQ,21.69,$2.47B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",NASDAQ,1.2601,$13.5M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",NASDAQ,21.95,$1.12B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
XLRN,Acceleron Pharma Inc.,NASDAQ,27.49,$1.03B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,NASDAQ,23.67,$250.61M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,NASDAQ,4.75,$387.48M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",NASDAQ,2.6,$117.81M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,NASDAQ,16.47,$488.31M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,"Achaogen, Inc.",NASDAQ,3.99,$106.45M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHN,"Achillion Pharmaceuticals, Inc.",NASDAQ,4.36,$595.93M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"ACI Worldwide, Inc.",NASDAQ,17.01,$1.99B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,"Aclaris Therapeutics, Inc.",NASDAQ,20.88,$447.15M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACNB,ACNB Corporation,NASDAQ,26.9,$163.04M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"Acorda Therapeutics, Inc.",NASDAQ,16.9,$779.76M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ACTS,"Actions Semiconductor Co., Ltd.",NASDAQ,2.09,$92.58M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts
ACPW,"Active Power, Inc.",NASDAQ,0.1639,$3.79M,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw
ATVI,"Activision Blizzard, Inc",NASDAQ,41.7,$30.92B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,NASDAQ,13.15,$519.53M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACUR,"Acura Pharmaceuticals, Inc.",NASDAQ,0.97,$11.48M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur
ACXM,Acxiom Corporation,NASDAQ,22.72,$1.76B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,"Adamas Pharmaceuticals, Inc.",NASDAQ,13.93,$305.47M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,2.55,$53.26M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,NASDAQ,4.2,$297.3M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,NASDAQ,25.6,$293.47M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"ADDvantage Technologies Group, Inc.",NASDAQ,1.75,$17.73M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,NASDAQ,1.7,$25.6M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADMA,ADMA Biologics Inc,NASDAQ,5.01,$64.56M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,NASDAQ,106.2,$52.81B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"ADTRAN, Inc.",NASDAQ,17.9,$866.34M,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,"Aduro Biotech, Inc.",NASDAQ,11.05,$715.53M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAAP,Advanced Accelerator Applications S.A.,NASDAQ,35.39,$1.53B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADES,"Advanced Emissions Solutions, Inc.",NASDAQ,7.6,$167.49M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"Advanced Energy Industries, Inc.",NASDAQ,47.13,$1.87B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AITP,Advanced Inhalation Therapies (AIT) Ltd.,NASDAQ,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aitp
AMD,"Advanced Micro Devices, Inc.",NASDAQ,6.56,$6.08B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ADXS,"Advaxis, Inc.",NASDAQ,8.6,$342.66M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
